GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
552,14124,14072.64,14124,99.87
553,14124,14050.17,14124,99.89
554,14124,14014.86,14124,99.87
555,14124,14002.02,14124,99.93
556,14124,13979.55,14124,99.87
557,14124,14021.28,14124,99.85
558,14124,13844.73,14124,99.81
559,14124,13979.55,14124,99.87
560,14124,13985.97,14124,99.91
561,14124,14018.07,14124,99.93
562,14124,14095.11,14124,99.87
563,14124,14002.02,14124,99.93
564,14124,13931.4,14124,99.93
565,14124,14069.43,14124,99.95
566,14124,14063.01,14124,99.91
567,14124,14050.17,14124,99.87
568,14124,14011.65,14124,99.83
569,14124,14014.86,14124,99.83
570,14124,14059.8,14124,99.93
571,14124,13985.97,14124,99.85
572,14124,13931.4,14124,99.93
573,14124,13944.24,14124,99.87
574,14124,14002.02,14124,99.95
575,14124,13960.29,14124,99.93
576,14124,14018.07,14124,99.95
577,14124,13979.55,14124,99.91
578,14124,14043.75,14124,99.89
579,14124,14011.65,14124,99.89
580,14124,14027.7,14124,99.95
581,14124,14091.9,14124,99.93
582,14124,13873.62,14124,99.95
583,14124,13941.03,14124,99.87
584,14124,14037.33,14124,99.77
585,14124,14034.12,14124,99.87
586,14124,13998.81,14124,99.91
587,14124,13928.19,14124,100.0
588,14124,13969.92,14124,99.95
589,14124,13924.98,14124,99.89
590,14124,14034.12,14124,99.95
591,14124,14050.17,14124,99.89
592,14124,14027.7,14124,99.83
593,14124,13960.29,14124,99.95
594,14124,14056.59,14124,99.95
595,14124,14088.69,14124,99.95
596,14124,14043.75,14124,99.95
597,14124,13995.6,14124,99.93
598,14124,14085.48,14124,99.91
599,14124,13985.97,14124,99.85
600,14124,13989.18,14124,99.89
601,14124,14072.64,14124,99.95
602,14124,14050.17,14124,99.91
603,14124,13969.92,14124,99.95
604,14124,14030.91,14124,99.93
605,14124,13924.98,14124,99.83
606,14124,14030.91,14124,99.95
607,14124,13960.29,14124,99.83
608,14124,14040.54,14124,99.85
609,14124,14063.01,14124,99.85
610,14124,13918.56,14124,99.79
611,14124,13921.77,14124,99.87
612,14124,14021.28,14124,99.87
613,14124,14008.44,14124,99.91
614,14124,14027.7,14124,99.73
615,14124,14069.43,14124,99.85
616,14124,13992.39,14124,99.89
617,14124,14046.96,14124,99.89
618,14124,14104.74,14124,99.75
619,14124,14053.38,14124,99.83
620,14124,13973.13,14124,99.69
621,14124,13966.71,14124,99.81
622,14124,14008.44,14124,99.79
623,14124,14050.17,14124,99.85
624,14124,14124.0,14124,99.81
625,14124,13982.76,14124,99.65
626,14124,14037.33,14124,99.69
627,14124,14050.17,14124,99.69
628,14124,14091.9,14124,99.69
629,14124,14034.12,14124,99.67
630,14124,14050.17,14124,99.65
631,14124,13924.98,14124,99.69
632,14124,13950.66,14124,99.69
633,14124,13918.56,14124,99.63
634,14124,14053.38,14124,99.65
635,14124,14066.22,14124,99.71
636,14124,14024.49,14124,99.63
637,14124,13979.55,14124,99.71
638,14124,14066.22,14124,99.79
639,14124,13969.92,14124,99.77
640,14124,14075.85,14124,99.83
641,14124,13982.76,14124,99.83
642,14124,13973.13,14124,99.79
643,14124,13957.08,14124,99.75
644,14124,14063.01,14124,99.77
645,14124,13998.81,14124,99.81
646,14124,14002.02,14124,99.91
647,14124,13912.14,14124,99.93
